,title,rating,link
0,The Shawshank Redemption,9.2,https://www.imdb.com/title/tt0111161/
1,The Godfather,9.2,https://www.imdb.com/title/tt0068646/
2,The Godfather: Part II,9.0,https://www.imdb.com/title/tt0071562/
3,The Dark Knight,9.0,https://www.imdb.com/title/tt0468569/
4,12 Angry Men,8.9,https://www.imdb.com/title/tt0050083/
5,Schindler's List,8.9,https://www.imdb.com/title/tt0108052/
6,The Lord of the Rings: The Return of the King,8.9,https://www.imdb.com/title/tt0167260/
7,Pulp Fiction,8.9,https://www.imdb.com/title/tt0110912/
8,"Il buono, il brutto, il cattivo",8.8,https://www.imdb.com/title/tt0060196/
9,Fight Club,8.8,https://www.imdb.com/title/tt0137523/
10,The Lord of the Rings: The Fellowship of the Ring,8.8,https://www.imdb.com/title/tt0120737/
11,Forrest Gump,8.7,https://www.imdb.com/title/tt0109830/
12,Inception,8.7,https://www.imdb.com/title/tt1375666/
13,Star Wars: Episode V - The Empire Strikes Back,8.7,https://www.imdb.com/title/tt0080684/
14,The Lord of the Rings: The Two Towers,8.7,https://www.imdb.com/title/tt0167261/
15,One Flew Over the Cuckoo's Nest,8.7,https://www.imdb.com/title/tt0073486/
16,Goodfellas,8.7,https://www.imdb.com/title/tt0099685/
17,The Matrix,8.6,https://www.imdb.com/title/tt0133093/
18,Avengers: Endgame,8.6,https://www.imdb.com/title/tt4154796/
19,Shichinin no samurai,8.6,https://www.imdb.com/title/tt0047478/
20,Se7en,8.6,https://www.imdb.com/title/tt0114369/
21,Cidade de Deus,8.6,https://www.imdb.com/title/tt0317248/
22,Star Wars,8.6,https://www.imdb.com/title/tt0076759/
23,The Silence of the Lambs,8.6,https://www.imdb.com/title/tt0102926/
24,It's a Wonderful Life,8.6,https://www.imdb.com/title/tt0038650/
25,La vita è bella,8.6,https://www.imdb.com/title/tt0118799/
26,Sen to Chihiro no kamikakushi,8.5,https://www.imdb.com/title/tt0245429/
27,Saving Private Ryan,8.5,https://www.imdb.com/title/tt0120815/
28,The Usual Suspects,8.5,https://www.imdb.com/title/tt0114814/
29,Léon,8.5,https://www.imdb.com/title/tt0110413/
30,The Green Mile,8.5,https://www.imdb.com/title/tt0120689/
31,Interstellar,8.5,https://www.imdb.com/title/tt0816692/
32,Psycho,8.5,https://www.imdb.com/title/tt0054215/
33,American History X,8.5,https://www.imdb.com/title/tt0120586/
34,City Lights,8.5,https://www.imdb.com/title/tt0021749/
35,Casablanca,8.5,https://www.imdb.com/title/tt0034583/
36,Once Upon a Time in the West,8.5,https://www.imdb.com/title/tt0064116/
37,The Pianist,8.5,https://www.imdb.com/title/tt0253474/
38,Modern Times,8.5,https://www.imdb.com/title/tt0027977/
39,The Intouchables,8.5,https://www.imdb.com/title/tt1675434/
40,The Departed,8.5,https://www.imdb.com/title/tt0407887/
41,Back to the Future,8.5,https://www.imdb.com/title/tt0088763/
42,Terminator 2: Judgment Day,8.5,https://www.imdb.com/title/tt0103064/
43,The Lion King,8.5,https://www.imdb.com/title/tt0110357/
44,Whiplash,8.5,https://www.imdb.com/title/tt2582802/
45,Rear Window,8.5,https://www.imdb.com/title/tt0047396/
46,Gladiator,8.5,https://www.imdb.com/title/tt0172495/
47,Raiders of the Lost Ark,8.5,https://www.imdb.com/title/tt0082971/
48,The Prestige,8.5,https://www.imdb.com/title/tt0482571/
49,Apocalypse Now,8.4,https://www.imdb.com/title/tt0078788/
50,Memento,8.4,https://www.imdb.com/title/tt0209144/
51,Alien,8.4,https://www.imdb.com/title/tt0078748/
52,Hotaru no haka,8.4,https://www.imdb.com/title/tt0095327/
53,Nuovo Cinema Paradiso,8.4,https://www.imdb.com/title/tt0095765/
54,The Great Dictator,8.4,https://www.imdb.com/title/tt0032553/
55,Spider-Man: Into the Spider-Verse,8.4,https://www.imdb.com/title/tt4633694/
56,Sunset Blvd.,8.4,https://www.imdb.com/title/tt0043014/
57,The Lives of Others,8.4,https://www.imdb.com/title/tt0405094/
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,https://www.imdb.com/title/tt0057012/
59,Avengers: Infinity War,8.4,https://www.imdb.com/title/tt4154756/
60,Paths of Glory,8.4,https://www.imdb.com/title/tt0050825/
61,Django Unchained,8.4,https://www.imdb.com/title/tt1853728/
62,The Shining,8.4,https://www.imdb.com/title/tt0081505/
63,WALL·E,8.4,https://www.imdb.com/title/tt0910970/
64,Mononoke-hime,8.4,https://www.imdb.com/title/tt0119698/
65,Witness for the Prosecution,8.4,https://www.imdb.com/title/tt0051201/
66,Oldeuboi,8.4,https://www.imdb.com/title/tt0364569/
67,The Dark Knight Rises,8.3,https://www.imdb.com/title/tt1345836/
68,Aliens,8.3,https://www.imdb.com/title/tt0090605/
69,American Beauty,8.3,https://www.imdb.com/title/tt0169547/
70,Once Upon a Time in America,8.3,https://www.imdb.com/title/tt0087843/
71,Coco,8.3,https://www.imdb.com/title/tt2380307/
72,Das Boot,8.3,https://www.imdb.com/title/tt0082096/
73,Citizen Kane,8.3,https://www.imdb.com/title/tt0033467/
74,Braveheart,8.3,https://www.imdb.com/title/tt0112573/
75,Vertigo,8.3,https://www.imdb.com/title/tt0052357/
76,Kimi no na wa.,8.3,https://www.imdb.com/title/tt5311514/
77,North by Northwest,8.3,https://www.imdb.com/title/tt0053125/
78,Reservoir Dogs,8.3,https://www.imdb.com/title/tt0105236/
79,Star Wars: Episode VI - Return of the Jedi,8.3,https://www.imdb.com/title/tt0086190/
80,M - Eine Stadt sucht einen Mörder,8.3,https://www.imdb.com/title/tt0022100/
81,Amadeus,8.3,https://www.imdb.com/title/tt0086879/
82,Requiem for a Dream,8.3,https://www.imdb.com/title/tt0180093/
83,Dangal,8.3,https://www.imdb.com/title/tt5074352/
84,3 Idiots,8.3,https://www.imdb.com/title/tt1187043/
85,Toy Story,8.3,https://www.imdb.com/title/tt0114709/
86,2001: A Space Odyssey,8.3,https://www.imdb.com/title/tt0062622/
87,Taare Zameen Par,8.3,https://www.imdb.com/title/tt0986264/
88,Eternal Sunshine of the Spotless Mind,8.3,https://www.imdb.com/title/tt0338013/
89,Lawrence of Arabia,8.3,https://www.imdb.com/title/tt0056172/
90,A Clockwork Orange,8.3,https://www.imdb.com/title/tt0066921/
91,Singin' in the Rain,8.3,https://www.imdb.com/title/tt0045152/
92,Inglourious Basterds,8.3,https://www.imdb.com/title/tt0361748/
93,Amélie,8.3,https://www.imdb.com/title/tt0211915/
94,Double Indemnity,8.3,https://www.imdb.com/title/tt0036775/
95,Taxi Driver,8.3,https://www.imdb.com/title/tt0075314/
96,Full Metal Jacket,8.3,https://www.imdb.com/title/tt0093058/
97,Ladri di biciclette,8.3,https://www.imdb.com/title/tt0040522/
98,To Kill a Mockingbird,8.3,https://www.imdb.com/title/tt0056592/
