,title,rating,link
0,Disaster Movie,2.0,https://www.imdb.com/title/tt1213644/
1,Manos: The Hands of Fate,2.0,https://www.imdb.com/title/tt0060666/
2,Superbabies: Baby Geniuses 2,2.1,https://www.imdb.com/title/tt0270846/
3,The Hottie & the Nottie,2.2,https://www.imdb.com/title/tt0804492/
4,Kod Adi K.O.Z.,2.2,https://www.imdb.com/title/tt4458206/
5,Birdemic: Shock and Terror,2.2,https://www.imdb.com/title/tt1316037/
6,House of the Dead,2.3,https://www.imdb.com/title/tt0317676/
7,Saving Christmas,2.3,https://www.imdb.com/title/tt4009460/
8,Pledge This!,2.3,https://www.imdb.com/title/tt0417056/
9,Son of the Mask,2.4,https://www.imdb.com/title/tt0362165/
10,From Justin to Kelly,2.4,https://www.imdb.com/title/tt0339034/
11,Epic Movie,2.4,https://www.imdb.com/title/tt0799949/
12,Dünyayi Kurtaran Adam'in Oglu,2.5,https://www.imdb.com/title/tt0808240/
13,Alone in the Dark,2.5,https://www.imdb.com/title/tt0369226/
14,Daniel der Zauberer,2.5,https://www.imdb.com/title/tt0421051/
15,Battlefield Earth,2.6,https://www.imdb.com/title/tt0185183/
16,Going Overboard,2.6,https://www.imdb.com/title/tt0096870/
17,Glitter,2.6,https://www.imdb.com/title/tt0118589/
18,Gigli,2.6,https://www.imdb.com/title/tt0299930/
19,Dragonball Evolution,2.7,https://www.imdb.com/title/tt1098327/
20,Who's Your Caddy?,2.8,https://www.imdb.com/title/tt0785077/
21,Meet the Spartans,2.8,https://www.imdb.com/title/tt1073498/
22,Baby Geniuses,2.9,https://www.imdb.com/title/tt0118665/
23,Date Movie,2.9,https://www.imdb.com/title/tt0466342/
24,Hobgoblins,2.9,https://www.imdb.com/title/tt0089280/
25,Race 3,3.1,https://www.imdb.com/title/tt7431594/
26,Jaws: The Revenge,3.1,https://www.imdb.com/title/tt0093300/
27,Troll 2,3.1,https://www.imdb.com/title/tt0105643/
28,BloodRayne,3.1,https://www.imdb.com/title/tt0383222/
29,Kazaam,3.2,https://www.imdb.com/title/tt0116756/
30,Santa Claus Conquers the Martians,3.2,https://www.imdb.com/title/tt0058548/
31,The Human Centipede III (Final Sequence),3.2,https://www.imdb.com/title/tt1883367/
32,Rollerball,3.3,https://www.imdb.com/title/tt0246894/
33,Left Behind,3.3,https://www.imdb.com/title/tt2467046/
34,Steel,3.3,https://www.imdb.com/title/tt0120207/
35,Tees Maar Khan,3.3,https://www.imdb.com/title/tt1572311/
36,Gunday,3.4,https://www.imdb.com/title/tt2574698/
37,Bratz,3.4,https://www.imdb.com/title/tt0804452/
38,Catwoman,3.4,https://www.imdb.com/title/tt0327554/
39,Jack and Jill,3.4,https://www.imdb.com/title/tt0810913/
40,The Emoji Movie,3.4,https://www.imdb.com/title/tt4877122/
41,3 Ninjas: High Noon at Mega Mountain,3.4,https://www.imdb.com/title/tt0118539/
42,Daddy Day Camp,3.4,https://www.imdb.com/title/tt0462244/
43,Enes Batur Hayal mi Gerçek mi?,3.5,https://www.imdb.com/title/tt7668842/
44,Barb Wire,3.5,https://www.imdb.com/title/tt0115624/
45,The Starving Games,3.5,https://www.imdb.com/title/tt2403029/
46,The Return of the Texas Chainsaw Massacre,3.5,https://www.imdb.com/title/tt0110978/
47,Vampires Suck,3.5,https://www.imdb.com/title/tt1666186/
48,Slender Man,3.5,https://www.imdb.com/title/tt5690360/
49,Hercules in New York,3.5,https://www.imdb.com/title/tt0065832/
50,Far Cry,3.6,https://www.imdb.com/title/tt0400426/
51,Spice World,3.6,https://www.imdb.com/title/tt0120185/
52,Dumb and Dumberer: When Harry Met Lloyd,3.6,https://www.imdb.com/title/tt0329028/
53,The Master of Disguise,3.6,https://www.imdb.com/title/tt0295427/
54,Police Academy: Mission to Moscow,3.6,https://www.imdb.com/title/tt0110857/
55,Crossroads,3.6,https://www.imdb.com/title/tt0275022/
56,Scary Movie 5,3.6,https://www.imdb.com/title/tt0795461/
57,Feardotcom,3.6,https://www.imdb.com/title/tt0295254/
58,The Open House,3.6,https://www.imdb.com/title/tt7608028/
59,Die unendliche Geschichte III: Rettung aus Phantasien,3.6,https://www.imdb.com/title/tt0110647/
60,The Room,3.7,https://www.imdb.com/title/tt0368226/
61,Teen Wolf Too,3.7,https://www.imdb.com/title/tt0094118/
62,The Adventures of Sharkboy and Lavagirl 3-D,3.7,https://www.imdb.com/title/tt0424774/
63,Bucky Larson: Born to Be a Star,3.7,https://www.imdb.com/title/tt1411664/
64,Batman & Robin,3.7,https://www.imdb.com/title/tt0118688/
65,Captain America,3.7,https://www.imdb.com/title/tt0103923/
66,Spy Kids 4: All the Time in the World,3.7,https://www.imdb.com/title/tt1517489/
67,Jaws 3-D,3.7,https://www.imdb.com/title/tt0085750/
68,The Wicker Man,3.8,https://www.imdb.com/title/tt0450345/
69,Fifty Shades of Black,3.8,https://www.imdb.com/title/tt4667094/
70,Mac and Me,3.8,https://www.imdb.com/title/tt0095560/
71,D-War,3.8,https://www.imdb.com/title/tt0372873/
72,The Fog,3.8,https://www.imdb.com/title/tt0432291/
73,Superman IV: The Quest for Peace,3.8,https://www.imdb.com/title/tt0094074/
74,Mortal Kombat: Annihilation,3.8,https://www.imdb.com/title/tt0119707/
75,I Know Who Killed Me,3.8,https://www.imdb.com/title/tt0897361/
76,Dungeons & Dragons,3.8,https://www.imdb.com/title/tt0190374/
77,The Flintstones in Viva Rock Vegas,3.9,https://www.imdb.com/title/tt0158622/
78,The Avengers,3.9,https://www.imdb.com/title/tt0118661/
79,Piranha 3DD,3.9,https://www.imdb.com/title/tt1714203/
80,Speed 2: Cruise Control,3.9,https://www.imdb.com/title/tt0120179/
81,You Got Served,3.9,https://www.imdb.com/title/tt0365957/
82,The Love Guru,3.9,https://www.imdb.com/title/tt0811138/
83,2001: A Space Travesty,3.9,https://www.imdb.com/title/tt0157262/
84,In the Name of the King: A Dungeon Siege Tale,3.9,https://www.imdb.com/title/tt0460780/
85,Street Fighter: The Legend of Chun-Li,3.9,https://www.imdb.com/title/tt0891592/
86,Ballistic: Ecks vs. Sever,3.9,https://www.imdb.com/title/tt0308208/
87,Stan Helsing,3.9,https://www.imdb.com/title/tt1185266/
88,Street Fighter,3.9,https://www.imdb.com/title/tt0111301/
89,Dance Flick,3.9,https://www.imdb.com/title/tt1153706/
90,Swept Away,3.9,https://www.imdb.com/title/tt0291502/
91,The Cat in the Hat,4.0,https://www.imdb.com/title/tt0312528/
92,The Human Centipede II (Full Sequence),4.0,https://www.imdb.com/title/tt1530509/
93,The Adventures of Pluto Nash,4.0,https://www.imdb.com/title/tt0180052/
94,Exorcist II: The Heretic,4.0,https://www.imdb.com/title/tt0076009/
95,S. Darko,4.0,https://www.imdb.com/title/tt1231277/
96,Beverly Hills Chihuahua,4.0,https://www.imdb.com/title/tt1014775/
97,Caddyshack II,4.0,https://www.imdb.com/title/tt0094824/
98,Delta Farce,4.0,https://www.imdb.com/title/tt0800003/
99,Prom Night,4.1,https://www.imdb.com/title/tt0926129/
