,title,rating,link
0,Saving Christmas,1.5,https://www.imdb.com/title/tt4009460/
1,Kod Adi K.O.Z.,1.5,https://www.imdb.com/title/tt4458206/
2,Birdemic: Shock and Terror,1.8,https://www.imdb.com/title/tt1316037/
3,Manos: The Hands of Fate,1.9,https://www.imdb.com/title/tt0060666/
4,Going Overboard,1.9,https://www.imdb.com/title/tt0096870/
5,Pledge This!,1.9,https://www.imdb.com/title/tt0417056/
6,Daniel der Zauberer,1.9,https://www.imdb.com/title/tt0421051/
7,The Hottie & the Nottie,1.9,https://www.imdb.com/title/tt0804492/
8,Dünyayi Kurtaran Adam'in Oglu,1.9,https://www.imdb.com/title/tt0808240/
9,Disaster Movie,1.9,https://www.imdb.com/title/tt1213644/
10,Superbabies: Baby Geniuses 2,2.0,https://www.imdb.com/title/tt0270846/
11,House of the Dead,2.0,https://www.imdb.com/title/tt0317676/
12,From Justin to Kelly,2.1,https://www.imdb.com/title/tt0339034/
13,Who's Your Caddy?,2.1,https://www.imdb.com/title/tt0785077/
14,Student of the Year 2,2.1,https://www.imdb.com/title/tt7255568/
15,Race 3,2.1,https://www.imdb.com/title/tt7431594/
16,Hobgoblins,2.2,https://www.imdb.com/title/tt0089280/
17,Glitter,2.2,https://www.imdb.com/title/tt0118589/
18,Son of the Mask,2.2,https://www.imdb.com/title/tt0362165/
19,Gunday,2.2,https://www.imdb.com/title/tt2574698/
20,Alone in the Dark,2.3,https://www.imdb.com/title/tt0369226/
21,Gigli,2.4,https://www.imdb.com/title/tt0299930/
22,Epic Movie,2.4,https://www.imdb.com/title/tt0799949/
23,Battlefield Earth,2.5,https://www.imdb.com/title/tt0185183/
24,Santa Claus Conquers the Martians,2.6,https://www.imdb.com/title/tt0058548/
25,Baby Geniuses,2.6,https://www.imdb.com/title/tt0118665/
26,Dragonball Evolution,2.6,https://www.imdb.com/title/tt1098327/
27,Tees Maar Khan,2.6,https://www.imdb.com/title/tt1572311/
28,Troll 2,2.8,https://www.imdb.com/title/tt0105643/
29,3 Ninjas: High Noon at Mega Mountain,2.8,https://www.imdb.com/title/tt0118539/
30,Steel,2.8,https://www.imdb.com/title/tt0120207/
31,Date Movie,2.8,https://www.imdb.com/title/tt0466342/
32,Meet the Spartans,2.8,https://www.imdb.com/title/tt1073498/
33,The Human Centipede III (Final Sequence),2.8,https://www.imdb.com/title/tt1883367/
34,Jaws: The Revenge,2.9,https://www.imdb.com/title/tt0093300/
35,Kazaam,2.9,https://www.imdb.com/title/tt0116756/
36,BloodRayne,2.9,https://www.imdb.com/title/tt0383222/
37,Rollerball,3.0,https://www.imdb.com/title/tt0246894/
38,Daddy Day Camp,3.0,https://www.imdb.com/title/tt0462244/
39,Bratz,3.0,https://www.imdb.com/title/tt0804452/
40,Far Cry,3.1,https://www.imdb.com/title/tt0400426/
41,Left Behind,3.1,https://www.imdb.com/title/tt2467046/
42,Hercules in New York,3.2,https://www.imdb.com/title/tt0065832/
43,Teen Wolf Too,3.2,https://www.imdb.com/title/tt0094118/
44,Die unendliche Geschichte III: Rettung aus Phantasien,3.2,https://www.imdb.com/title/tt0110647/
45,The Return of the Texas Chainsaw Massacre,3.2,https://www.imdb.com/title/tt0110978/
46,The Starving Games,3.2,https://www.imdb.com/title/tt2403029/
47,The Emoji Movie,3.2,https://www.imdb.com/title/tt4877122/
48,Slender Man,3.2,https://www.imdb.com/title/tt5690360/
49,Veere Di Wedding,3.2,https://www.imdb.com/title/tt5842616/
50,Mac and Me,3.3,https://www.imdb.com/title/tt0095560/
51,Captain America,3.3,https://www.imdb.com/title/tt0103923/
52,Barb Wire,3.3,https://www.imdb.com/title/tt0115624/
53,Feardotcom,3.3,https://www.imdb.com/title/tt0295254/
54,The Master of Disguise,3.3,https://www.imdb.com/title/tt0295427/
55,Catwoman,3.3,https://www.imdb.com/title/tt0327554/
56,Jack and Jill,3.3,https://www.imdb.com/title/tt0810913/
57,Bucky Larson: Born to Be a Star,3.3,https://www.imdb.com/title/tt1411664/
58,The Open House,3.3,https://www.imdb.com/title/tt7608028/
59,Police Academy: Mission to Moscow,3.4,https://www.imdb.com/title/tt0110857/
60,Crossroads,3.4,https://www.imdb.com/title/tt0275022/
61,Dumb and Dumberer: When Harry Met Lloyd,3.4,https://www.imdb.com/title/tt0329028/
62,Vampires Suck,3.4,https://www.imdb.com/title/tt1666186/
63,Spice World,3.5,https://www.imdb.com/title/tt0120185/
64,2001: A Space Travesty,3.5,https://www.imdb.com/title/tt0157262/
65,The Adventures of Sharkboy and Lavagirl 3-D,3.5,https://www.imdb.com/title/tt0424774/
66,Scary Movie 5,3.5,https://www.imdb.com/title/tt0795461/
67,Delta Farce,3.5,https://www.imdb.com/title/tt0800003/
68,Dance Flick,3.5,https://www.imdb.com/title/tt1153706/
69,Spy Kids 4: All the Time in the World,3.5,https://www.imdb.com/title/tt1517489/
70,Fifty Shades of Black,3.5,https://www.imdb.com/title/tt4667094/
71,Recep Ivedik 5,3.5,https://www.imdb.com/title/tt6439558/
72,Jaws 3-D,3.6,https://www.imdb.com/title/tt0085750/
73,The Flintstones in Viva Rock Vegas,3.6,https://www.imdb.com/title/tt0158622/
74,Swept Away,3.6,https://www.imdb.com/title/tt0291502/
75,Ballistic: Ecks vs. Sever,3.6,https://www.imdb.com/title/tt0308208/
76,You Got Served,3.6,https://www.imdb.com/title/tt0365957/
77,D-War,3.6,https://www.imdb.com/title/tt0372873/
78,The Fog,3.6,https://www.imdb.com/title/tt0432291/
79,I Know Who Killed Me,3.6,https://www.imdb.com/title/tt0897361/
80,Stan Helsing,3.6,https://www.imdb.com/title/tt1185266/
81,S. Darko,3.6,https://www.imdb.com/title/tt1231277/
82,Superman IV: The Quest for Peace,3.7,https://www.imdb.com/title/tt0094074/
83,Caddyshack II,3.7,https://www.imdb.com/title/tt0094824/
84,Double Dragon,3.7,https://www.imdb.com/title/tt0106761/
85,The Avengers,3.7,https://www.imdb.com/title/tt0118661/
86,Batman & Robin,3.7,https://www.imdb.com/title/tt0118688/
87,Mortal Kombat: Annihilation,3.7,https://www.imdb.com/title/tt0119707/
88,Dungeons & Dragons,3.7,https://www.imdb.com/title/tt0190374/
89,The Room,3.7,https://www.imdb.com/title/tt0368226/
90,The Wicker Man,3.7,https://www.imdb.com/title/tt0450345/
91,Extreme Movie,3.7,https://www.imdb.com/title/tt0806147/
92,Street Fighter: The Legend of Chun-Li,3.7,https://www.imdb.com/title/tt0891592/
93,Piranha 3DD,3.7,https://www.imdb.com/title/tt1714203/
94,Exorcist II: The Heretic,3.8,https://www.imdb.com/title/tt0076009/
95,Speed 2: Cruise Control,3.8,https://www.imdb.com/title/tt0120179/
96,The Adventures of Pluto Nash,3.8,https://www.imdb.com/title/tt0180052/
97,In the Name of the King: A Dungeon Siege Tale,3.8,https://www.imdb.com/title/tt0460780/
98,Furry Vengeance,3.8,https://www.imdb.com/title/tt0492389/
99,The Love Guru,3.8,https://www.imdb.com/title/tt0811138/
100,Beverly Hills Chihuahua,3.8,https://www.imdb.com/title/tt1014775/
101,Holmes & Watson,3.8,https://www.imdb.com/title/tt1255919/
102,The Human Centipede II (Full Sequence),3.8,https://www.imdb.com/title/tt1530509/
103,Recep Ivedik 4,3.8,https://www.imdb.com/title/tt3477064/
104,Escape Plan 2: Hades,3.8,https://www.imdb.com/title/tt6513656/
