,title,rating,metascore,publisher,review
0,The Shawshank Redemption,9.2,90,Rolling Stone, It's the no-bull performances that hold back the flood of banalities. Robbins and Freeman connect with the bruised souls of Andy and Red to create something undeniably powerful and moving. 
1,The Shawshank Redemption,9.2,90,Chicago Reader, Gripping...compelling. 
2,The Shawshank Redemption,9.2,90,Variety," Central to the film's success is a riveting, unfussy performance from Robbins. Freeman has the showier role, allowing him a grace and dignity that come naturally. "
3,The Shawshank Redemption,9.2,90,The New York Times," There are times when The Shawshank Redemption comes dangerously close to sounding one of those ""triumph of the spirit"" notes. But most of it is eloquently restrained. [23 Sept 1994, p.C3] "
4,The Shawshank Redemption,9.2,90,Time, [Darabont] makes you feel the maddening pace of prison time without letting his picture succumb to it. 
5,The Shawshank Redemption,9.2,89,Austin Chronicle," At times poignant, joyful, and terrifying, Shawshank Redemption is an altogether brilliant movie and the debut of an equally brilliant director. "
6,The Shawshank Redemption,9.2,88,ReelViews," Whitmore's Brooks is a brilliantly-realized character, and the scenes with him attempting to cope with life outside of Shawshank represents one of the film's most moving -- and effective -- sequences. "
7,The Shawshank Redemption,9.2,75,San Francisco Chronicle," Some of ""The Shawshank Redemption'' comes across as outrageously improbable. Yet the film keeps pulling you back with its sense of striving humanity slowly turning the tables against evil. "
8,The Shawshank Redemption,9.2,67,Entertainment Weekly," Shouldering a laconic-good-guy, neo- Gary Cooper role, Robbins never quite makes emotional contact with the audience. "
9,The Shawshank Redemption,9.2,40,Washington Post," Speaking of jail, ""Shawshank""-the-movie seems to last about half a life sentence. The story, chiefly about the 20-year friendship between Freeman and Robbins, becomes incarcerated in its own labyrinthine sentimentality. "
10,The Godfather,9.2,100,Austin Chronicle," Just about as great as a movie's ever gonna be... As for the storytellng, The Godfather is an intricately constructed gem that simultaneously kicks ass. "
11,The Godfather,9.2,100,ReelViews," The picture is a series of mini-climaxes, all building to the devastating, definitive conclusion... It was carefully and painstakingly crafted. Every major character - and more than a few minor ones - is molded into a distinct, complex individual. "
12,The Godfather,9.2,100,Chicago Sun-Times, The wedding sequence... is a virtuoso stretch of filmmaking: Coppola brings his large cast onstage so artfully that we are drawn at once into the Godfather's world. 
13,The Godfather,9.2,100,San Francisco Chronicle," In scene after scene -- the long wedding sequence, John Marley's bloody discovery in his bed, Pacino nervously smoothing down his hair before a restaurant massacre, the godfather's collapse in a garden -- Coppola crafted an enduring, undisputed masterpiece. [21 Mar 1997, Daily Datebook, p.C3] "
14,The Godfather,9.2,100,The New York Times, One of the most brutal and moving chronicles of American life ever designed within the limits of popular entertainment. [16 Mar 1972] 
15,The Godfather,9.2,100,Washington Post," A great American picture, full of incredible images and lasting moments. "
16,The Godfather,9.2,100,L.A. Weekly, The Godfather traces the arc of this doomed idealism with a beauty that is still fresh. 
17,The Godfather,9.2,100,Chicago Reader," Sharp, entertaining, and convincing--discursive, but with a sense of structure and control that Coppola hasn't achieved since. "
18,The Godfather,9.2,100,Los Angeles Times," Overflowing with life, rich with all the grand emotions and vital juices of existence, up to and including blood. And its deaths, like that of Hotspur in ""Henry IV, Part I,"" continue to shock no matter how often we've watched them coming. [16 Mar 1997, Calendar, p.7] "
19,The Godfather,9.2,80,Variety," Overlong at about 175 minutes (played without intermission), and occasionally confusing. While never so placid as to be boring, it is never so gripping as be superior screen drama. "
20,The Godfather: Part II,9,100,Empire," And with supporting roles from the likes of Diane Keaton, Robert Duvall and Lee Strasberg, to say nothing of Roger Corman and Harry Dean Stanton in bit parts, this is nothing short of magisterial. "
21,The Godfather: Part II,9,100,ReelViews," As the beginning of Part II echoes the opening of ""The Godfather,"" so too does the end. Because of the manner in which circumstances are handled and considering the people involved, the impact here is more forceful. The tragic flaw has accomplished its poisonous, inevitable designs. Coppola punctuates both movies with a gut-twisting exclamation point. "
22,The Godfather: Part II,9,100,TV Guide Magazine," Cinematographer Willis superbly captures the turn-of-the-century period, applying a seriographic tint to flashback scenes for a softer, richer look than the sharp image of the ongoing contemporary story. "
23,The Godfather: Part II,9,100,Time Out London," This is quite simply one of the saddest movies ever made, a tale of loss, grief and absolute loneliness, an unflinching stare into the darkest moral abyss. "
24,The Godfather: Part II,9,100,Total Film," The plotting is elliptical and the sweep intoxicates, but the contrast between De Niro’s meditative Vito and Pacino’s soul-starved eyes brings piercing focus to Coppola’s resonating study of corrupting power. "
