,title,rating,metascore,publisher,review
0,Disaster Movie,2.0,58,Entertainment Weekly," The movie is merciless sending up ""Juno's"" self-satisfied hipster gobbledygook, and it's quite funny to see Hannah Montana still promoting her tie-in products as she lies crushed and dying under a meteor. "
1,Disaster Movie,2.0,25,TV Guide Magazine," Lazy, superficially au courant and utterly forgettable. "
2,Disaster Movie,2.0,20,Variety," Seldom has a pic been more appropriately titled than Disaster Movie, yet another frantically unfunny free-form farce. "
3,Disaster Movie,2.0,20,The Hollywood Reporter, Real disaster movies have more laughs than this spoof. 
4,Disaster Movie,2.0,20,New York Daily News," Why would you watch a bad movie about better movies, when you could just rent the originals instead? "
5,Disaster Movie,2.0,20,The New York Times," Does little more than congratulate its audience on recognizing the source of its riffs. ""High School Musical"" -- ha ha ha! "
6,Disaster Movie,2.0,20,Empire," A horrific waste of time, money and oxygen. "
7,Disaster Movie,2.0,16,The A.V. Club," It's too easy to say Disaster Movie deserves its title, but why put more effort into trashing it than the filmmakers did into writing it? "
8,Disaster Movie,2.0,12,Boston Globe, The filmmakers are idiots. 
9,Disaster Movie,2.0,0,L.A. Weekly, This carpet-fouling mongrel of a movie no more deserves release than do anthrax spores. 
10,Superbabies: Baby Geniuses 2,2.1,50,Entertainment Weekly," The film's moral? Turn off the TV, young 'uns, and go outside and play! And avoid Superbabies: Baby Geniuses 2 matinees while you're at it. "
11,Superbabies: Baby Geniuses 2,2.1,30,The Hollywood Reporter, The sequel retains not only the same gimmicky premise as the original but its preference for cliche-ridden dialogue and flat-footed comedy as well. 
12,Superbabies: Baby Geniuses 2,2.1,30,TV Guide Magazine, Entirely too convoluted for kids and implausible even by the standards set by the original concept. 
13,Superbabies: Baby Geniuses 2,2.1,25,USA Today," Here's a late-August dog-days atrocity from the ""aren't farts funny?"" school of filmmaking. "
14,Superbabies: Baby Geniuses 2,2.1,25,New York Daily News, Features even more toddlers acting in a way only collectors of velvet paintings will consider irresistible. 
15,Superbabies: Baby Geniuses 2,2.1,20,L.A. Weekly," As for anyone else who may experience a sudden need for therapy after sitting through this, you're on your own. "
16,Superbabies: Baby Geniuses 2,2.1,20,Variety," Falls short on nearly every level, from production values to an inexplicable cameo by Whoopi Goldberg. "
17,Superbabies: Baby Geniuses 2,2.1,20,Washington Post, So bad that I predict there will be drinking games set around viewing it someday. 
18,Superbabies: Baby Geniuses 2,2.1,0,Dallas Observer," The first Baby Geniuses, released in 1999, was one of the most inane, humorless, ill-conceived, poorly acted comedies of the year. As difficult as it is to imagine, the sequel is even worse, earning an F. "
19,Superbabies: Baby Geniuses 2,2.1,0,The New York Times," Villainy toward the infant class now comes from Jon Voight, descending to the depths of his 37-year-career. "
20,The Hottie & the Nottie,2.2,33,Entertainment Weekly," The Farrelly brothers could burp out a movie funnier than The Hottie & the Nottie, a farce of corrupt stereotypes that's never more grotesque than when it pretends to be more than skin-deep. "
21,The Hottie & the Nottie,2.2,30,Washington Post," Like Nate, we are mere Notties. And we are supposed to feel oh-so privileged for getting to watch Paris through the glass. "
