,title,rating,metascore,publisher,review
0,Saving Christmas,1.5,40,Austin Chronicle," Saving Christmas will hold little interest for anyone not already a believer. It’s too single-minded in its instructional purpose, too averse to multidimensional characters, too youth-pastor-like in its dorky humor. "
1,Saving Christmas,1.5,40,Arizona Republic," Beyond the leaps in logic, the most troubling part of this film is that it just feels like a defense of the excess of Christmas. "
2,Saving Christmas,1.5,30,The New York Times, Saving Christmas seems determined to win any perceived war on Christmas through brute force. 
3,Saving Christmas,1.5,25,Chicago Sun-Times, This may be one of the least artful holiday films ever made. Even devout born-again Christians will find this hard to stomach. 
4,Saving Christmas,1.5,25,RogerEbert.com," Every holiday season sees a new influx of Christmas movies desperate to become the next big seasonal perennial destined to provide laughter, tears, humanity and healthy residuals for years to come. "
5,Saving Christmas,1.5,25,Washington Post, A glorified infomercial in defense of the holiday that contains about 15 minutes of actual content padded out with almost an hour of filler. 
6,Saving Christmas,1.5,20,Los Angeles Times, An unholy mess co-produced by Cameron's faith-based Camfam Studios. 
7,Saving Christmas,1.5,16,The A.V. Club," Preaching aside, though, Saving Christmas is a shoddy 80-minute feature that contains approximately 50 minutes of actual moving footage. When Cameron narrates that materialism doesn’t go against Christmas because it celebrates the son of God being made material himself, it sounds like a defense of any kind of cheap, poorly made holiday crap — this movie included. "
8,Saving Christmas,1.5,8,TheWrap," Director Doane offers no storytelling pizzazz; the lighting is careless, the pacing is deadly, the occasional stabs at comedy fall flat. Ultimately, Saving Christmas has nothing to share that Linus Van Pelt didn't already say better on “A Charlie Brown Christmas.” "
9,The Hottie & the Nottie,1.9,33,Entertainment Weekly," The Farrelly brothers could burp out a movie funnier than The Hottie & the Nottie, a farce of corrupt stereotypes that's never more grotesque than when it pretends to be more than skin-deep. "
10,The Hottie & the Nottie,1.9,30,Washington Post," Like Nate, we are mere Notties. And we are supposed to feel oh-so privileged for getting to watch Paris through the glass. "
11,The Hottie & the Nottie,1.9,25,Philadelphia Inquirer," Though Hilton may be a model, if her work in Hottie is any indication, she is no actress. "
12,The Hottie & the Nottie,1.9,12,Chicago Tribune, Verdict: not so hot 
13,The Hottie & the Nottie,1.9,12,ReelViews, A cinematic excursion so horrific that it's an insult to bad movies to call it a bad movie. 
14,The Hottie & the Nottie,1.9,12,Rolling Stone," That generous half star rating I tacked onto this comedy abomination is all for Paris Hilton. Come on, it takes guts (or gross dim-wittedness) to appear on screen again after ""House of Wax."" "
15,The Hottie & the Nottie,1.9,0,Village Voice," Crass, shrill, disingenuous, tawdry, mean-spirited, vulgar, idiotic, boring, slapdash, half-assed, and very, very unfunny. "
16,The Hottie & the Nottie,1.9,0,Variety," Paris Hilton has already ushered a remarkable three features into the Internet Movie Database's ""Bottom 100."" The Hottie and the Nottie will make it an even four. "
17,The Hottie & the Nottie,1.9,0,The A.V. Club," How is Paris Hilton in her first starring role to receive a national release? Pretty bad, actually. She's limited to a single, all-too-familiar expression of smug self-satisfaction, and she delivers her lines in a tone somewhere between ""seductive"" and ""dish-soap commercial."" "
18,The Hottie & the Nottie,1.9,0,TV Guide Magazine," Preposterous, disingenuous, remarkably unfunny and genuinely distasteful. "
19,Disaster Movie,1.9,58,Entertainment Weekly," The movie is merciless sending up ""Juno's"" self-satisfied hipster gobbledygook, and it's quite funny to see Hannah Montana still promoting her tie-in products as she lies crushed and dying under a meteor. "
20,Disaster Movie,1.9,25,TV Guide Magazine," Lazy, superficially au courant and utterly forgettable. "
21,Disaster Movie,1.9,20,Variety," Seldom has a pic been more appropriately titled than Disaster Movie, yet another frantically unfunny free-form farce. "
22,Disaster Movie,1.9,20,The Hollywood Reporter, Real disaster movies have more laughs than this spoof. 
23,Disaster Movie,1.9,20,New York Daily News," Why would you watch a bad movie about better movies, when you could just rent the originals instead? "
24,Disaster Movie,1.9,20,The New York Times," Does little more than congratulate its audience on recognizing the source of its riffs. ""High School Musical"" -- ha ha ha! "
25,Disaster Movie,1.9,20,Empire," A horrific waste of time, money and oxygen. "
26,Disaster Movie,1.9,16,The A.V. Club," It's too easy to say Disaster Movie deserves its title, but why put more effort into trashing it than the filmmakers did into writing it? "
27,Disaster Movie,1.9,12,Boston Globe, The filmmakers are idiots. 
